Species,Series,Temp, Polyp,Date,Age,Cum N,R,R 1
Cf,A,12,27A,25/12/2013,51,7,0,1.03575697749521
Cf,A,12,27A,28/12/2013,54,5,-1.25992104989487,1.02600448470704
Cf,A,12,27A,31/12/2013,57,5,0,1.02461912042435
Cf,A,12,27A,03/01/2014,60,5,0,1.02337389199678
Cf,A,12,27A,07/01/2014,63,5,0,1.02224856081216
Cf,A,12,27A,10/01/2014,66,5,0,1.02122660631536
Cf,A,12,27A,13/01/2014,69,5,0,1.02029440971591
Cf,A,12,27A,16/01/2014,72,5,0,1.01944064370214
Cf,A,12,27A,19/01/2014,75,5,0,1.01865580995729
Cf,A,12,27A,22/01/2014,78,5,0,1.01793188433739
Cf,A,12,27A,25/01/2014,81,5,0,1.01726204156403
Cf,A,12,27A,28/01/2014,84,5,0,1.01664043939194
Cf,A,12,27A,31/01/2014,87,5,0,1.01606204778279
Cf,A,12,27B,04/11/2013,0,1,0,0
Cf,A,12,27B,07/11/2013,3,1,0,0
Cf,A,12,27B,10/11/2013,6,1,0,0
Cf,A,12,27B,13/11/2013,9,1,0,0
Cf,A,12,27B,16/11/2013,12,3,1.25992104989487,1.0594630943593
Cf,A,12,27B,19/11/2013,15,3,0,1.04729412282063
Cf,A,12,27B,22/11/2013,18,3,0,1.03925922603184
Cf,A,12,27B,25/11/2013,21,3,0,1.03355778300703
Cf,A,12,27B,28/11/2013,24,3,0,1.02930223664349
Cf,A,12,27B,01/12/2013,27,4,1,1.04152849823144
Cf,A,12,27B,04/12/2013,30,4,0,1.03729919730295
Cf,A,12,27B,07/12/2013,33,4,0,1.03385163721665
Cf,A,12,27B,10/12/2013,36,4,0,1.03098742495292
Cf,A,12,27B,13/12/2013,39,4,0,1.0285700594374
Cf,A,12,27B,16/12/2013,42,4,0,1.02650254363692
Cf,A,12,27B,19/12/2013,45,8,1.5874010519682,1.04419102593573
Cf,A,12,27B,22/12/2013,48,8,0,1.0413727500691
Cf,A,12,27B,25/12/2013,51,8,0,1.03889235358651
Cf,A,12,27B,28/12/2013,54,8,0,1.03669251690219
Cf,A,12,27B,31/12/2013,57,11,1.44224957030741,1.04122325604831
Cf,A,12,27B,03/01/2014,60,11,0,1.03912230383517
Cf,A,12,27B,07/01/2014,63,11,0,1.03722509540706
Cf,A,12,27B,10/01/2014,66,11,0,1.03550336648913
Cf,A,12,27B,13/01/2014,69,11,0,1.0339338492394
Cf,A,12,27B,16/01/2014,72,11,0,1.03249721500099
Cf,A,12,27B,19/01/2014,75,11,0,1.03117727459306
Cf,A,12,27B,22/01/2014,78,11,0,1.02996036580999
Cf,A,12,27B,25/01/2014,81,11,0,1.02883487892305
Cf,A,12,27B,28/01/2014,84,11,0,1.02779088522383
Cf,A,12,27B,31/01/2014,87,11,0,1.02681984341689
Cf,A,12,27C,04/11/2013,0,1,0,0
Cf,A,12,27C,07/11/2013,3,1,0,0
Cf,A,12,27C,10/11/2013,6,1,0,0
Cf,A,12,27C,13/11/2013,9,1,0,0
Cf,A,12,27C,16/11/2013,12,2,1,1
Cf,A,12,27C,19/11/2013,15,2,0,1
Cf,A,12,27C,22/11/2013,18,2,0,1
Cf,A,12,27C,25/11/2013,21,2,0,1
Cf,A,12,27C,28/11/2013,24,2,0,1
Cf,A,12,27C,01/12/2013,27,2,0,1
Cf,A,12,27C,04/12/2013,30,2,0,1
Cf,A,12,27C,07/12/2013,33,2,0,1
Cf,A,12,27C,10/12/2013,36,2,0,1
Cf,A,12,27C,13/12/2013,39,2,0,1
Cf,A,12,27C,16/12/2013,42,2,0,1
Cf,A,12,27C,19/12/2013,45,2,0,1
Cf,A,12,27C,22/12/2013,48,2,0,1
Cf,A,12,27C,25/12/2013,51,5,1.44224957030741,1.02755504977341
Cf,A,12,27C,28/12/2013,54,5,0,1.02600448470704
Cf,A,12,27C,31/12/2013,57,5,0,1.02461912042435
Cf,A,12,27C,03/01/2014,60,5,0,1.02337389199678
Cf,A,12,27C,07/01/2014,63,5,0,1.02224856081216
Cf,A,12,27C,10/01/2014,66,5,0,1.02122660631536
Cf,A,12,27C,13/01/2014,69,5,0,1.02029440971591
Cf,A,12,27C,16/01/2014,72,8,1.44224957030741,1.02739505903668
Cf,A,12,27C,19/01/2014,75,8,0,1.02628498224611
Cf,A,12,27C,22/01/2014,78,8,0,1.02526136057471
Cf,A,12,27C,25/01/2014,81,8,0,1.02431447307893
Cf,A,12,27C,28/01/2014,84,8,0,1.02343600346019
Cf,A,12,27C,31/01/2014,87,8,0,1.02261879521172
Cf,A,12,27D,04/11/2013,0,1,0,0
Cf,A,12,27D,07/11/2013,3,1,0,0
Cf,A,12,27D,10/11/2013,6,1,0,0
Cf,A,12,27D,13/11/2013,9,1,0,0
Cf,A,12,27D,16/11/2013,12,1,0,0
Cf,A,12,27D,19/11/2013,15,1,0,0
Cf,A,12,27D,22/11/2013,18,1,0,0
Cf,A,12,27D,25/11/2013,21,1,0,0
Cf,A,12,27D,28/11/2013,24,1,0,0
Cf,A,12,27D,01/12/2013,27,1,0,0
Cf,A,12,27D,04/12/2013,30,3,1.25992104989487,1.02337389199678
Cf,A,12,27D,07/12/2013,33,3,0,1.02122660631536
Cf,A,12,27D,10/12/2013,36,3,0,1.01944064370214
Cf,A,12,27D,13/12/2013,39,3,0,1.01793188433739
Cf,A,12,27D,16/12/2013,42,3,0,1.01664043939194
Cf,A,12,27D,19/12/2013,45,3,0,1.01552251250428
Cf,A,12,27D,22/12/2013,48,6,1.44224957030741,1.034098421241
Cf,A,12,27D,25/12/2013,51,6,0,1.03206082690945
Cf,A,12,27D,28/12/2013,54,6,0,1.03025300271851
Cf,A,12,27D,31/12/2013,57,6,0,1.02863816021572
Cf,A,12,27D,03/01/2014,60,6,0,1.02718696620247
Cf,A,12,27D,07/01/2014,63,6,0,1.02587574536305
Cf,A,12,27D,10/01/2014,66,6,0,1.02468517894079
Cf,A,12,27D,13/01/2014,69,9,1.44224957030741,1.03059554475201
Cf,A,12,27D,16/01/2014,72,9,0,1.02930223664349
Cf,A,12,27D,19/01/2014,75,9,0,1.02811382665607
Cf,A,12,27D,22/01/2014,78,9,0,1.02701805070877
Cf,A,12,27D,25/01/2014,81,11,1.25992104989487,1.02883487892305
Cf,A,12,27D,28/01/2014,84,11,0,1.02779088522383
Cf,A,12,27D,31/01/2014,87,11,0,1.02681984341689
Cf,A,12,10A,04/11/2013,0,1,0,0
Cf,A,12,10A,07/11/2013,3,1,0,0
Cf,A,12,10A,10/11/2013,6,1,0,0
Cf,A,12,10A,13/11/2013,9,1,0,0
Cf,A,12,10A,16/11/2013,12,1,0,0
Cf,A,12,10A,19/11/2013,15,1,0,0
Cf,A,12,10A,22/11/2013,18,1,0,0
Cf,A,12,10A,25/11/2013,21,2,1,1
Cf,A,12,10A,28/11/2013,24,2,0,1
Cf,A,12,10A,01/12/2013,27,2,0,1
Cf,A,12,10A,04/12/2013,30,2,0,1
Cf,A,12,10A,07/12/2013,33,2,0,1
Cf,A,12,10A,10/12/2013,36,3,1,1.01944064370214
Cf,A,12,10A,13/12/2013,39,3,0,1.01793188433739
Cf,A,12,10A,16/12/2013,42,3,0,1.01664043939194
Cf,A,12,10A,19/12/2013,45,3,0,1.01552251250428
Cf,A,12,10A,22/12/2013,48,3,0,1.01454533493752
Cf,A,12,10A,25/12/2013,51,4,1,1.02177510875481
Cf,A,12,10A,28/12/2013,54,4,0,1.02055303548196
Cf,A,12,10A,31/12/2013,57,4,0,1.0194608405019
Cf,A,12,10A,03/01/2014,60,4,0,1.01847886443605
Cf,A,12,10A,07/01/2014,63,6,1.25992104989487,1.02587574536305
Cf,A,12,10A,10/01/2014,66,6,0,1.02468517894079
Cf,A,12,10A,13/01/2014,69,6,0,1.0235993467727
Cf,A,12,10A,16/01/2014,72,6,0,1.02260501144315
Cf,A,12,10A,19/01/2014,75,6,0,1.02169107605197
Cf,A,12,10A,22/01/2014,78,6,0,1.02084816838248
Cf,A,12,10A,25/01/2014,81,6,0,1.02006831838009
Cf,A,12,10A,28/01/2014,84,7,1,1.02155959052812
Cf,A,12,10A,31/01/2014,87,7,0,1.02080847555335
Cf,A,12,10B,04/11/2013,0,1,0,0
Cf,A,12,10B,07/11/2013,3,1,0,0
Cf,A,12,10B,10/11/2013,6,1,0,0
Cf,A,12,10B,13/11/2013,9,1,0,0
Cf,A,12,10B,16/11/2013,12,1,0,0
Cf,A,12,10B,19/11/2013,15,1,0,0
Cf,A,12,10B,22/11/2013,18,3,1.25992104989487,1.03925922603184
Cf,A,12,10B,25/11/2013,21,3,0,1.03355778300703
Cf,A,12,10B,28/11/2013,24,3,0,1.02930223664349
Cf,A,12,10B,01/12/2013,27,4,1,1.04152849823144
Cf,A,12,10B,04/12/2013,30,4,0,1.03729919730295
Cf,A,12,10B,07/12/2013,33,6,1.25992104989487,1.04997971594093
Cf,A,12,10B,10/12/2013,36,6,0,1.04572100942864
Cf,A,12,10B,13/12/2013,39,6,0,1.04213098288986
Cf,A,12,10B,16/12/2013,42,9,1.44224957030741,1.05075663865322
Cf,A,12,10B,19/12/2013,45,9,0,1.04729412282063
Cf,A,12,10B,22/12/2013,48,9,0,1.04427378242741
Cf,A,12,10B,25/12/2013,51,9,0,1.04161601065058
Cf,A,12,10B,28/12/2013,54,9,0,1.03925922603184
Cf,A,12,10B,31/12/2013,57,9,0,1.03715504444619
Cf,A,12,10B,03/01/2014,60,13,1.5874010519682,1.04228467941438
Cf,A,12,10B,07/01/2014,63,13,0,1.04023116521067
Cf,A,12,10B,10/01/2014,66,13,0,1.03836784518194
Cf,A,12,10B,13/01/2014,69,13,0,1.03666946808481
Cf,A,12,10B,16/01/2014,72,13,0,1.03511506283366
Cf,A,12,10B,19/01/2014,75,13,0,1.03368706856783
Cf,A,12,10B,22/01/2014,78,13,0,1.03237066858959
Cf,A,12,10B,25/01/2014,81,13,0,1.03115327453133
Cf,A,12,10B,28/01/2014,84,13,0,1.03002412265561
Cf,A,12,10B,31/01/2014,87,13,0,1.02897395484546
Cf,A,12,10C,04/11/2013,0,1,0,0
Cf,A,12,10C,07/11/2013,3,1,0,0
Cf,A,12,10C,10/11/2013,6,1,0,0
Cf,A,12,10C,13/11/2013,9,1,0,0
Cf,A,12,10C,16/11/2013,12,1,0,0
Cf,A,12,10C,19/11/2013,15,1,0,0
Cf,A,12,10C,22/11/2013,18,1,0,0
Cf,A,12,10C,25/11/2013,21,4,1.44224957030741,1.05370747209307
Cf,A,12,10C,28/11/2013,24,4,0,1.04683938172732
Cf,A,12,10C,01/12/2013,27,4,0,1.04152849823144
Cf,A,12,10C,04/12/2013,30,4,0,1.03729919730295
Cf,A,12,10C,07/12/2013,33,4,0,1.03385163721665
Cf,A,12,10C,10/12/2013,36,6,1.25992104989487,1.04572100942864
Cf,A,12,10C,13/12/2013,39,6,0,1.04213098288986
Cf,A,12,10C,16/12/2013,42,6,0,1.03906362841616
Cf,A,12,10C,19/12/2013,45,6,0,1.03641255838068
Cf,A,12,10C,22/12/2013,48,6,0,1.034098421241
Cf,A,12,10C,25/12/2013,51,6,0,1.03206082690945
Cf,A,12,10C,28/12/2013,54,10,1.5874010519682,1.04152849823144
Cf,A,12,10C,31/12/2013,57,11,1,1.04122325604831
Cf,A,12,10C,03/01/2014,60,11,0,1.03912230383517
Cf,A,12,10C,07/01/2014,63,11,0,1.03722509540706
Cf,A,12,10C,10/01/2014,66,11,0,1.03550336648913
Cf,A,12,10C,13/01/2014,69,11,0,1.0339338492394
Cf,A,12,10C,16/01/2014,72,11,0,1.03249721500099
Cf,A,12,10C,19/01/2014,75,11,0,1.03117727459306
Cf,A,12,10C,22/01/2014,78,11,0,1.02996036580999
Cf,A,12,10C,25/01/2014,81,11,0,1.02883487892305
Cf,A,12,10C,28/01/2014,84,11,0,1.02779088522383
Cf,A,12,10C,31/01/2014,87,1,-2.15443469003188,0
Cf,A,12,10D,04/11/2013,0,1,0,0
Cf,A,12,10D,07/11/2013,3,1,0,0
Cf,A,12,10D,10/11/2013,6,1,0,0
Cf,A,12,10D,13/11/2013,9,1,0,0
Cf,A,12,10D,16/11/2013,12,1,0,0
Cf,A,12,10D,19/11/2013,15,1,0,0
Cf,A,12,10D,22/11/2013,18,1,0,0
Cf,A,12,10D,25/11/2013,21,3,1.25992104989487,1.03355778300703
Cf,A,12,10D,28/11/2013,24,3,0,1.02930223664349
Cf,A,12,10D,01/12/2013,27,3,0,1.02600448470704
Cf,A,12,10D,04/12/2013,30,3,0,1.02337389199678
Cf,A,12,10D,07/12/2013,33,3,0,1.02122660631536
Cf,A,12,10D,10/12/2013,36,3,0,1.01944064370214
Cf,A,12,10D,13/12/2013,39,3,0,1.01793188433739
Cf,A,12,10D,16/12/2013,42,3,0,1.01664043939194
Cf,A,12,10D,19/12/2013,45,5,1.25992104989487,1.031285973403
Cf,A,12,10D,22/12/2013,48,5,0,1.02930223664349
Cf,A,12,10D,25/12/2013,51,5,0,1.02755504977341
Cf,A,12,10D,28/12/2013,54,5,0,1.02600448470704
Cf,A,12,10D,31/12/2013,57,5,0,1.02461912042435
Cf,A,12,10D,03/01/2014,60,5,0,1.02337389199678
Cf,A,12,10D,07/01/2014,63,7,1.25992104989487,1.02884892265508
Cf,A,12,10D,10/01/2014,66,7,0,1.02751973163942
Cf,A,12,10D,13/01/2014,69,7,0,1.02630762222499
Cf,A,12,10D,16/01/2014,72,7,0,1.02519777806179
Cf,A,12,10D,19/01/2014,75,7,0,1.02417778146135
Cf,A,12,10D,22/01/2014,78,10,1.44224957030741,1.0285700594374
Cf,A,12,10D,25/01/2014,81,10,0,1.02749749491857
Cf,A,12,10D,28/01/2014,84,10,0,1.02650254363692
Cf,A,12,10D,31/01/2014,87,10,0,1.02557707576568
Cf,A,12,19A,04/11/2013,0,1,0,0
Cf,A,12,19A,07/11/2013,3,1,0,0
Cf,A,12,19A,10/11/2013,6,1,0,0
Cf,A,12,19A,13/11/2013,9,2,1,1
Cf,A,12,19A,16/11/2013,12,2,0,1
Cf,A,12,19A,19/11/2013,15,2,0,1
Cf,A,12,19A,22/11/2013,18,2,0,1
Cf,A,12,19A,25/11/2013,21,2,0,1
Cf,A,12,19A,28/11/2013,24,2,0,1
Cf,A,12,19A,01/12/2013,27,2,0,1
Cf,A,12,19A,04/12/2013,30,3,1,1.02337389199678
Cf,A,12,19A,07/12/2013,33,3,0,1.02122660631536
Cf,A,12,19A,10/12/2013,36,3,0,1.01944064370214
Cf,A,12,19A,13/12/2013,39,3,0,1.01793188433739
Cf,A,12,19A,16/12/2013,42,6,1.44224957030741,1.03906362841616
Cf,A,12,19A,19/12/2013,45,6,0,1.03641255838068
Cf,A,12,19A,22/12/2013,48,6,0,1.034098421241
Cf,A,12,19A,25/12/2013,51,6,0,1.03206082690945
Cf,A,12,19A,28/12/2013,54,6,0,1.03025300271851
Cf,A,12,19A,31/12/2013,57,6,0,1.02863816021572
Cf,A,12,19A,03/01/2014,60,6,0,1.02718696620247
Cf,A,12,19A,07/01/2014,63,6,0,1.02587574536305
Cf,A,12,19A,10/01/2014,66,8,1.25992104989487,1.02992242833251
Cf,A,12,19A,13/01/2014,69,8,0,1.02860302615022
Cf,A,12,19A,16/01/2014,72,8,0,1.02739505903668
Cf,A,12,19A,19/01/2014,75,8,0,1.02628498224611
Cf,A,12,19A,22/01/2014,78,8,0,1.02526136057471
